學年度,分類,縣市,學校名稱,連結,學校電話,學校信箱
109,原住民重點學校-高中,桃園,國立臺北科技大學附屬桃園農工高級中等學校,https://www.tyai.tyc.edu.tw/bin/home.php, 03 333 3921,無
109,原住民重點學校-高中,桃園,桃園市新興高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市啟英高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市育達高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市治平高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市大興高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市立壽山高級中等學校,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市私立至善高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,基隆,基隆市立八斗高中(含國中部),暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,新北,新北市立樹林高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,新北,新北市私立崇義高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,新竹,新竹市私立光復高級中學,http://www.kfsh.hc.edu.tw/,03 575 3698,無
109,原住民重點學校-高中,新竹,新竹縣私立東泰高級中學,http://www.ttsh.hcc.edu.tw/home,03 596 1232,無
109,原住民重點學校-高中,臺中,臺中市私立青年高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,臺東,國立臺東大學附屬體育高級中學,http://www.ntpehs.ttct.edu.tw/,089-383629,無
109,原住民重點學校-高中,臺東,臺東縣立蘭嶼高中(含國中部),暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,宜蘭,宜蘭縣立南澳高中附設國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,屏東,屏東縣立來義高中附設國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,桃園,桃園市私立新興高級中學,http://www.hshs.tyc.edu.tw/,(03)3796996,無
108,原住民重點學校-高中,桃園,桃園市私立大興高級中學,http://www.dxhs.tyc.edu.tw/ischool/publish_page/0/,03-3862330,無
108,原住民重點學校-高中,桃園,桃園市立壽山高級中等學校,http://www.sssh.tyc.edu.tw/bin/home.php,03-3501778,無
108,原住民重點學校-高中,桃園,桃園市育達高中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,桃園,桃園市治平高中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,桃園,桃園市私立至善高中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,桃園,桃園市啟英高中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,基隆,基隆市立八斗高中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高中,新北,新北市立樹林高中,暫不提供,暫不提供,暫不提供
107,原住民重點學校-高中,宜蘭,宜蘭縣立南澳高級中學,http://blog.ilc.edu.tw/blog/blog/4907,03-9981024,1109@tmail.ilc.edu.tw
107,原住民重點學校-高中,花蓮,國立玉里高級中學,http://www.ylsh.hlc.edu.tw/default_page.asp,03-8886171 ,暫無資料提供
107,原住民重點學校-高中,花蓮,花蓮縣私立海星高級中學,http://www.smhs.hlc.edu.tw/smhs/,03-8223116,暫無資料提供
107,原住民重點學校-高中,花蓮,四維學校財團法人花蓮縣四維高級中學,http://www.swsh.hlc.edu.tw/home,03-8561455,tea98@ms2.swsh.hlc.edu.tw 
107,原住民重點學校-高中,花蓮,花蓮縣立體育高級中等學校,http://www.hpehs.hlc.edu.tw/,03-8462610,暫無資料提供
107,原住民重點學校-高中,屏東,屏榮學校財團法人屏東縣屏榮高級中學,http://www.prhs.ptc.edu.tw/releaseRedirect.do?unitID=183&pageID=3037,08-7223409      ,暫無資料提供
107,原住民重點學校-高中,屏東,國立屏北高級中學,http://www.ppsh.ptc.edu.tw/ischool/publish_page/0/,08-7937493       ,暫無資料提供
107,原住民重點學校-高中,屏東,屏東縣立來義高級中學,http://web.lyhs.ptc.edu.tw/tw/default1.asp,08-7850086 ,cjkuei@ms.lyhs.ptc.edu.tw
107,原住民重點學校-高中,屏東,國立潮州高級中學,https://www.ccsh.ptc.edu.tw/,08-7882017,暫無資料提供
107,原住民重點學校-高中,屏東,國立屏東高級中學,http://www.pths.ptc.edu.tw/ischool/publish_page/0/,08-7656444,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市育達高級中等學校,https://ydweb.yuda.tyc.edu.tw/page/ydw/school/home,03-4934101    ,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市私立至善高級中學,http://www.lovejs.tw/,03-3887528,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市私立治平高級中等學校,http://www.cpshs.tyc.edu.tw/home,03-4823636　,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市立壽山高級中等學校,http://www.sssh.tyc.edu.tw/bin/home.php,03-3501778    ,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市私立光啟高級中等學校,http://www.phsh.tyc.edu.tw/ischool/publish_page/0/,02-82098313 ,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市私立新興高級中等學校,http://www.hshs.tyc.edu.tw/,03-3796996,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市私立啟英高級中等學校,http://web.cyvs.tyc.edu.tw/html/,03-4523036 ,05201@cyvs.tyc.edu.tw
107,原住民重點學校-高中,桃園,國立臺北科技大學附屬桃園農工高級中等學校,http://www.tyai.tyc.edu.tw/bin/home.php,03-3333921,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市私立大興高級中等學校,http://www.dxhs.tyc.edu.tw/ischool/publish_page/0/,03-3862330,暫無資料提供
107,原住民重點學校-高中,桃園,桃園市永平工商高級中等學校,http://www.ypvs.tyc.edu.tw ,03-4822464,暫無資料提供
107,原住民重點學校-高中,基隆,基隆市立八斗高級中學,http://www.bdjh.kl.edu.tw:8080/SchoolWeb/,02-24692366 ,暫無資料提供
107,原住民重點學校-高中,新北,新北市立樹林高級中學,http://www.slsh.ntpc.edu.tw/default_page.asp,02-86852011,mis@slsh.ntpc.edu.tw
107,原住民重點學校-高中,新竹,新竹市私立光復高級中學,http://web.kfsh.hc.edu.tw/bin/home.php,03-5753698,暫無資料提供
107,原住民重點學校-高中,新竹,新竹縣私立東泰高級中學,http://www.ttsh.hcc.edu.tw/home,03-5961232,暫無資料提供
107,原住民重點學校-高中,臺東,國立臺東大學附屬體育高級中學,http://www.ntpehs.ttct.edu.tw/,089-383629,暫無資料提供
107,原住民重點學校-高中,臺東,臺東縣私立育仁高級中學,http://www.lotus.ttct.edu.tw/,089-382839　,暫無資料提供
