學年度,分類,縣市,學校名稱,連結,學校電話,學校信箱
109,原住民重點學校-國中,臺東,縣立大王國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立海端國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立瑞源國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立長濱國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立豐田國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,新竹,縣立五峰國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立玉東國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立泰源國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,高雄,市立茂林國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,屏東,縣立高泰國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,南投,縣立北梅國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,新北,市立烏來國(中)小,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立桃源國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立知本國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,新竹,縣立員東國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立富源國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,新竹,縣立竹東國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,南投,縣立仁愛國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立關山國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立長濱國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,屏東,縣立牡丹國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立都蘭國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,桃園,市立介壽國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立豐田國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,南投,縣立同富國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立鳳林國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,屏東,縣立滿州國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺中,市立梨山國中(小),暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立初鹿國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立瑞穗國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立光復國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立大武國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立池上國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立寶桑國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立三民國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,苗栗,縣立泰安國中(小),暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立富北國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,新竹,縣立自強國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立海端國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,苗栗,縣立南庄國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立鹿野國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,新北,市立烏來國中(小),暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立吉安國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立卑南國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,高雄,市立那瑪夏國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立玉里國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立豐濱國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立新城國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,高雄,市立寶來國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立新港國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,高雄,市立桃源國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立瑞源國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立化仁國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,南投,縣立信義國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立秀林國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,屏東,縣立獅子國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立平和國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立賓茂國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,屏東,縣立瑪家國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立美崙國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,屏東,縣立泰武國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,臺東,縣立大王國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立自強國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,花蓮,縣立萬榮國中,暫不提供,暫不提供,暫不提供
108,原住民重點學校-國中,南投,縣立民和國中,暫不提供,暫不提供,暫不提供
107,原住民重點學校-國中,花蓮,縣立玉里國民中學,http://www.yljh.hlc.edu.tw/,03-8882054,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立吉安國民中學,http://www.cajh.hlc.edu.tw/,03-8523136,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立玉東國民中學,http://www.ytjh.hlc.edu.tw/,03-8851062,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立光復國民中學,http://www.kfjhs.hlc.edu.tw/,03-8701027 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立海端國民中學 ,http://hdjh.boe.ttct.edu.tw/bin/home.php,089-931390　 ,暫無資料提供
107,原住民重點學校-國中,新竹,縣立員東國民中學,http://www.ydjh.hcc.edu.tw/bin/home.php,03-5963324,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立三民國民中學,http://www.smjh.hlc.edu.tw/,03-8980047 ,暫無資料提供
107,原住民重點學校-國中,高雄,市立茂林國民中學,http://www.ml.ks.edu.tw/,07-6801153,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立新城國民中學,http://www.scjh.hlc.edu.tw/,03-8263911 ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立美崙國民中學,http://www.mljh.hlc.edu.tw/,03-8223537,暫無資料提供
107,原住民重點學校-國中,新竹,縣立自強國民中學,http://www.jcjh.hcc.edu.tw/bin/home.php,03-5103291,暫無資料提供
107,原住民重點學校-國中,南投,縣立信義國民中學,http://www.syijh.ntct.edu.tw/bin/home.php,049-2791129 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立豐田國民中學 ,http://www.ftjh.ttct.edu.tw/front/bin/ptdetail.phtml?Part=1-3&Rcg=9,089-380241    ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立自強國民中學,http://www.zcjh.hlc.edu.tw/,03-8579338,暫無資料提供
107,原住民重點學校-國中,臺東,縣立鹿野國民中學 ,http://www.lyjh.ttct.edu.tw/bin/home.php,089-551006,暫無資料提供
107,原住民重點學校-國中,臺東,縣立新港國民中學 ,http://www.hkjh.ttct.edu.tw/bin/home.php,089-851034　 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立大武國民中學 ,http://twjh.boe.ttct.edu.tw/bin/home.php,089-791023　 ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立秀林國民中學,http://www.sljh.hlc.edu.tw/,03-8611010,暫無資料提供
107,原住民重點學校-國中,屏東,縣立獅子國民中學,https://sites.google.com/a/stjh.ptc.edu.tw/ping-dong-xian-li-shi-zi-guo-zhong-shou-ye/,08-8771121,暫無資料提供
107,原住民重點學校-國中,南投,縣立仁愛國民中學,http://a43.ntct.edu.tw/bin/home.php,049-2802206 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立長濱國民中學 ,http://cpjhs.boe.ttct.edu.tw/bin/home.php,089-831017 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立知本國民中學 ,http://www.cpjh.ttct.edu.tw/bin/home.php,089-512203　 ,暫無資料提供
107,原住民重點學校-國中,新竹,縣立尖石國民中學,http://www.gsjh.hcc.edu.tw/bin/home.php,03-5841027,暫無資料提供
107,原住民重點學校-國中,屏東,縣立瑪家國民中學,http://web.mjjh.ptc.edu.tw/,08-7994343,暫無資料提供
107,原住民重點學校-國中,高雄,市立那瑪夏國民中學,http://www.sm.ks.edu.tw/,07-6701813,暫無資料提供
107,原住民重點學校-國中,南投,縣立民和國民中學,http://www.mhjhs.ntct.edu.tw/bin/home.php,049-2741138 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立泰源國民中學 ,http://www.tyjh.ttct.edu.tw/bin/home.php,089-891252 ,暫無資料提供
107,原住民重點學校-國中,屏東,縣立泰武國民中學,暫無資料提供,08-7831025,暫無資料提供
107,原住民重點學校-國中,臺東,縣立賓茂國民中學 ,http://210.240.144.115/school/web/index.php,089-771076 ,暫無資料提供
107,原住民重點學校-國中,新竹,縣立竹東國民中學,http://www.cdjh.hcc.edu.tw/bin/home.php,03-5961207  ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立鳳林國民中學,http://www.fles.hlc.edu.tw/,03-8761101,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立壽豐國民中學,http://www.sfjh.hlc.edu.tw/,03-8652111 ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立富北國民中學,http://www.fbjh.hlc.edu.tw/,03-8821134　,暫無資料提供
107,原住民重點學校-國中,南投,縣立同富國民中學,http://www.tfjhs.ntct.edu.tw/bin/home.php,049-2701317 ,暫無資料提供
107,原住民重點學校-國中,臺中,市立和平國民中學,http://www.hpjh.tc.edu.tw/HP2011/_home.htm,04-25941512,暫無資料提供
107,原住民重點學校-國中,南投,縣立北梅國民中學,http://163.22.57.4/school/web/index.php,049-2461004,暫無資料提供
107,原住民重點學校-國中,臺東,縣立桃源國民中學 ,http://www.tyjhs.ttct.edu.tw/bin/home.php,089-561255  ,暫無資料提供
107,原住民重點學校-國中,屏東,縣立滿州國民中學,http://web.mjjhs.ptc.edu.tw/,08-8801106,暫無資料提供
107,原住民重點學校-國中,苗栗,縣立南庄國民中學,https://www.njjh.mlc.edu.tw/#top,037-822027,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立萬榮國民中學,http://www.wljh.hlc.edu.tw/,03-8751264 ,暫無資料提供
107,原住民重點學校-國中,屏東,縣立牡丹國民中學,http://www.mdjh.ptc.edu.tw/,08-8831014,暫無資料提供
107,原住民重點學校-國中,臺東,縣立池上國民中學 ,http://www.csjh.ttct.edu.tw/bin/home.php,089-862040  ,暫無資料提供
107,原住民重點學校-國中,高雄,市立桃源國民中學,http://www.ty.ks.edu.tw/,07-6861133 ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立豐濱國民中學,http://www.fpjh.hlc.edu.tw/,03-8791159 ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立化仁國民中學,http://www.hrjh.hlc.edu.tw/,03-8543471　,暫無資料提供
107,原住民重點學校-國中,高雄,市立寶來國民中學,http://www.blm.ks.edu.tw/,07-6881258,暫無資料提供
107,原住民重點學校-國中,臺東,縣立寶桑國民中學 ,http://tcbjh2.boe.ttct.edu.tw/,089-220011,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立平和國民中學,http://www.phjh.hlc.edu.tw/,03-8661221,暫無資料提供
107,原住民重點學校-國中,新竹,縣立五峰國民中學,http://www.wfjh.hcc.edu.tw/bin/home.php,03-5851006,暫無資料提供
107,原住民重點學校-國中,臺東,縣立卑南國民中學 ,https://sites.google.com/a/km.pnjh.ttct.edu.tw/start/,089-224045,暫無資料提供
107,原住民重點學校-國中,臺東,縣立關山國民中學 ,http://www.ksjh.ttct.edu.tw/bin/home.php,089-811114　 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立都蘭國民中學 ,http://www.tljh.ttct.edu.tw/bin/home.php,089-531234,暫無資料提供
107,原住民重點學校-國中,臺東,縣立瑞源國民中學 ,http://www.ryjh.ttct.edu.tw/bin/home.php,089-581425　 ,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立富源國民中學,http://www.fyjh.hlc.edu.tw/,03-8811002　,暫無資料提供
107,原住民重點學校-國中,花蓮,縣立瑞穗國民中學,http://www.zsjh.hlc.edu.tw/,03-8873111 ,暫無資料提供
107,原住民重點學校-國中,桃園,市立介壽國民中學,http://www.jsjh.tyc.edu.tw/,03-3822315 ,暫無資料提供
107,原住民重點學校-國中,臺東,縣立初鹿國民中學 ,http://www.cljh.ttct.edu.tw/bin/home.php,089-571125,暫無資料提供
107,原住民重點學校-國中,臺東,縣立大王國民中學 ,http://www.dwjh.ttct.edu.tw/bin/home.php,089-781324　 ,暫無資料提供
107,原住民重點學校-國中,宜蘭,縣立大同國民中學,http://www.dtjh.ilc.edu.tw/,03-9809611,ccd@ilc.edu.tw
